Order ID,Order Date,Order_Month,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Discount_Percentage_onSales,Profit,Profit-Margin,Payment Mode
10001,10/19/2024,,Kashvi Varty,South,Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,2,"$36,294.00",5,"$68,958.60",0.01,"$10,525.09",15.26,Debit Card
10002,8/30/2025,,Advik Desai,North,Delhi,Groceries,Rice,Rice Nemo,1,"$42,165.00",20,"$33,732.00",0.06,"$6,299.66",18.68,Debit Card
10003,11/4/2023,,Rhea Kalla,East,Patna,Kitchen,Juicer,Juicer Odio,4,"$64,876.00",20,"$207,603.20",0.01,"$19,850.27",9.56,Credit Card
10004,5/23/2025,,Anika Sen,East,Kolkata,Groceries,Oil,Oil Doloribus,5,"$37,320.00",15,"$158,610.00",0.01,"$36,311.02",22.89,UPI
10005,1/19/2025,,Akarsh Kaul,West,Pune,Clothing,Kids Wear,Kids Wear Quo,1,"$50,037.00",10,"$45,033.30",0.02,"$9,050.04",20.10,Debit Card
10006,4/6/2025,,Vardaniya Jayaraman,West,Pune,Furniture,Chair,Chair Assumenda,5,"$40,287.00",15,"$171,219.75",0.01,"$23,722.84",13.86,Credit Card
10007,10/13/2023,,Drishya Khare,West,Mumbai,Clothing,Accessories,Accessories Minima,2,"$3,636.00",5,"$6,908.40",0.07,$680.26,9.85,Debit Card
10008,8/17/2025,,Misha Dua,North,Lucknow,Books,Biography,Biography Vel,1,"$15,885.00",10,"$14,296.50",0.07,"$1,289.03",9.02,Debit Card
10009,3/7/2025,,Arhaan Vala,North,Jaipur,Groceries,Spices,Spices Expedita,1,"$40,834.00",20,"$32,667.20",0.06,"$3,700.89",11.33,Credit Card
10010,12/2/2024,,Lavanya Hayer,West,Goa,Kitchen,Juicer,Juicer Voluptatibus,2,"$16,686.00",15,"$28,366.20",0.05,"$5,703.09",20.11,UPI
10011,8/24/2025,,Divyansh Thaman,North,Lucknow,Kitchen,Cookware Set,Cookware Set Doloremque,2,"$10,761.00",20,"$17,217.60",0.12,"$4,139.82",24.04,Credit Card
10012,5/21/2024,,Nishith Kumar,South,Hyderabad,Beauty,Perfume,Perfume Itaque,3,"$27,066.00",10,"$73,078.20",0.01,"$16,216.55",22.19,Net Banking
10013,12/5/2024,,Anika Khanna,North,Chandigarh,Home Decor,Vase,Vase Ratione,1,"$53,951.00",5,"$51,253.45",0.01,"$6,826.05",13.32,Credit Card
10014,12/3/2023,,Amani Acharya,East,Patna,Clothing,Women's Wear,Women's Wear Optio,5,"$23,843.00",0,"$119,215.00",0.00,"$21,029.48",17.64,UPI
10015,7/25/2025,,Anay Grewal,North,Jaipur,Kitchen,Juicer,Juicer Debitis,2,"$15,444.00",5,"$29,343.60",0.02,"$5,535.44",18.86,COD
10016,10/13/2023,,Stuvan Majumdar,East,Bhubaneswar,Electronics,Laptop,Laptop Numquam,5,"$51,645.00",10,"$232,402.50",0.00,"$35,657.72",15.34,Debit Card
10017,5/24/2024,,Ritvik Ramanathan,South,Hyderabad,Electronics,Smartwatch,Smartwatch Ad,3,"$52,691.00",15,"$134,362.05",0.01,"$26,225.16",19.52,UPI
10018,9/7/2025,,Darshit Sharma,South,Chennai,Groceries,Oil,Oil Odio,4,"$3,775.00",10,"$13,590.00",0.07,"$1,234.71",9.09,Net Banking
10019,6/15/2024,,Sara Chanda,East,Patna,Sports,Dumbbells,Dumbbells Soluta,3,"$16,579.00",20,"$39,789.60",0.05,"$4,240.62",10.66,Credit Card
10020,1/11/2024,,Gatik Ravi,West,Pune,Books,Textbook,Textbook Inventore,5,"$36,393.00",5,"$172,866.75",0.00,"$39,437.91",22.81,Debit Card
10021,10/15/2023,,Jivin Sunder,West,Ahmedabad,Kitchen,Refrigerator,Refrigerator Commodi,1,"$6,574.00",20,"$5,259.20",0.38,$580.75,11.04,UPI
